fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-0.5281943702,0.9615758498,-1.3910371026,-0.4530766652,-0.2436304687,-0.4660467181,-0.3790141173,0.5580998654,1.2882399009,-0.5790253786,-0.9599457954,0
-0.2984540648,1.9668271477,-1.3910371026,0.0434025666,0.2238051805,0.8723653192,0.6241679617,0.0282519293,-0.7197081416,0.1289100722,-0.5845942253,0
-0.2984540648,1.2966596157,-1.1856994925,-0.169374247,0.0963227307,-0.0836432788,0.2289750215,0.1342215165,-0.3310730366,-0.0480737905,-0.5845942253,0
1.6543385318,-1.384010512,1.4836894388,-0.4530766652,-0.2648775437,0.1075584408,0.4113717631,0.6640694526,-0.9787982116,-0.4610361368,-0.5845942253,1
-0.5281943702,0.9615758498,-1.3910371026,-0.4530766652,-0.2436304687,-0.4660467181,-0.3790141173,0.5580998654,1.2882399009,-0.5790253786,-0.9599457954,0
-0.5281943702,0.7381866725,-1.3910371026,-0.5240022698,-0.2648775437,-0.2748449984,-0.1966173757,0.5580998654,1.2882399009,-0.5790253786,-0.9599457954,0
-0.2410189884,0.4031029065,-1.0830306874,-0.6658534789,-0.3923599935,-0.0836432788,0.3809723062,-0.1836872451,-0.0719829666,-1.1689715875,-0.9599457954,0
-0.5856294466,0.6823393781,-1.3910371026,-0.9495558971,-0.4773482933,-0.0836432788,-0.7742070575,-1.1374135299,0.5109696909,-1.1099769666,-0.3969184403,1
-0.2984540648,0.2914083178,-1.2883682975,-0.3821510607,-0.3073716936,-0.6572484377,-0.8654054283,0.0282519293,0.3166521384,-0.5200307577,-0.8661079028,1
-0.4707592939,-0.1553700368,0.4570013883,2.5257987261,-0.3498658435,0.1075584408,1.6881489546,0.5580998654,0.2518796209,0.8368455229,0.0722710223,0
-0.9302399048,0.2914083178,-0.9803618824,-0.5240022698,0.2025581055,-0.0836432788,0.5633690478,-0.4486112131,-0.2015280016,-0.6970146204,-1.1476215804,0
-0.4707592939,-0.1553700368,0.4570013883,2.5257987261,-0.3498658435,0.1075584408,1.6881489546,0.5580998654,0.2518796209,0.8368455229,0.0722710223,0
-1.5620257449,0.486873848,-1.3910371026,-0.6658534789,0.0325815058,0.011957581,0.3809723062,-1.2963679107,1.7416475234,-0.8150038621,-0.4907563328,0
-0.2984540648,0.4589502008,0.0976605707,-0.6658534789,0.5637583799,-0.6572484377,-0.531011402,0.346160691,-0.3310730366,5.3204367109,-1.2414594729,0
0.3333317753,0.5147974951,-0.4670178571,0.8945098213,1.8810770277,3.4535885339,2.995325603,0.9819782142,-0.9787982116,1.3088024901,-1.1476215804,0
0.3333317753,0.5147974951,-0.4156834546,0.9654354259,1.7535945779,3.3579876741,3.0865239738,0.9819782142,-0.9140256941,1.6037755946,-1.1476215804,0
0.1035914698,-1.384010512,1.4836894388,-0.5240022698,0.0963227307,1.8283739172,1.7185484116,0.0812367229,-0.0719829666,0.5418724184,0.0722710223,1
-0.1261488357,0.1797137292,0.0463261681,-0.5949278744,5.9605154207,0.011957581,0.2897739354,0.0282519293,-1.3026607991,3.6685873259,-1.0537836879,0
-0.5281943702,0.3472556122,-0.9803618824,1.3200634486,-0.0311597191,-0.9440510171,-0.531011402,0.346160691,0.4461971734,-0.9329931039,-1.3352973654,0
-0.2410189884,-1.1606213347,1.2270174262,-0.5240022698,5.3868443967,0.1075584408,0.2897739354,0.0812367229,-1.7560684217,2.488694908,-1.1476215804,1
0.3333317753,-1.7190942779,1.0730142186,-0.5240022698,-0.2223833937,1.2547687584,0.4113717631,0.0282519293,0.5109696909,-0.7560092413,-0.9599457954,1
